[2015-12-03T15:07:53Z]	arcontrol_cli M1600	[13]
[2015-12-03T15:07:53Z]	arcontrol_cli M1402	[TEMP 1:190.8 - TEMP 2:55.5]
[2015-12-03T15:07:58Z]	arcontrol_cli M1600	[13]
[2015-12-03T15:07:58Z]	arcontrol_cli M1402	[TEMP 1:191.0 - TEMP 2:55.7]
[2015-12-03T15:08:03Z]	arcontrol_cli M1600	[13]
[2015-12-03T15:08:03Z]	arcontrol_cli M1402	[TEMP 1:192.0 - TEMP 2:55.7]
[2015-12-03T15:08:08Z]	arcontrol_cli M1600	[14]
[2015-12-03T15:08:08Z]	arcontrol_cli M1402	[TEMP 1:193.3 - TEMP 2:55.8]
[2015-12-03T15:08:13Z]	arcontrol_cli M1600	[14]
[2015-12-03T15:08:13Z]	arcontrol_cli M1402	[TEMP 1:194.9 - TEMP 2:56.0]
